,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
1008,In-Ir,49,21,2.5559,3.0091,2.748,0.1,In,Ir,49,77
1009,Ir-Ir,990,336,2.0996,2.9922,2.749,0.1,Ir,Ir,77,77
1010,Ir-La,17,14,2.8785,3.4211,3.237,0.131,Ir,La,57,77
1011,Ir-Li,4,2,1.794,1.8197,1.807,0.011,Ir,Li,3,77
1012,Ir-Lu,22,15,2.7085,3.2063,3.048,0.133,Ir,Lu,71,77
1013,Ir-Mg,135,23,2.5874,3.0902,2.835,0.125,Ir,Mg,12,77
1014,Ir-Mn,7,6,2.4448,2.7669,2.614,0.102,Ir,Mn,25,77
1015,Ir-Mo,160,48,2.6443,3.0223,2.822,0.056,Ir,Mo,42,77
1016,Ir-N,6851,2474,1.669,2.3747,2.092,0.065,Ir,N,7,77
1017,Ir-Na,3,3,2.889,3.0886,2.985,0.082,Ir,Na,11,77
1018,Ir-Nb,14,10,2.7506,2.87,2.797,0.036,Ir,Nb,41,77
1019,Ir-Nd,10,9,2.7125,3.4319,3.2,0.199,Ir,Nd,60,77
1020,Ir-Ni,5,3,2.5962,2.7167,2.676,0.042,Ir,Ni,28,77
1021,Ir-O,2107,941,1.6527,2.3584,2.093,0.088,Ir,O,8,77
1022,Ir-Os,6,6,2.7196,2.9162,2.847,0.065,Ir,Os,76,77
1023,Ir-P,3100,1489,2.1337,2.7383,2.315,0.054,Ir,P,15,77
1024,Ir-Pd,23,6,2.4174,2.9991,2.824,0.131,Ir,Pd,46,77
1025,Ir-Pr,6,6,2.5452,3.2467,3.021,0.248,Ir,Pr,59,77
1026,Ir-Re,15,12,2.4915,2.9541,2.81,0.107,Ir,Re,75,77
1027,Ir-Rh,40,35,2.599,2.9452,2.819,0.07,Ir,Rh,45,77
1028,Ir-Ru,121,50,2.3472,2.9687,2.788,0.107,Ir,Ru,44,77
1029,Ir-S,984,390,1.9032,2.7567,2.352,0.076,Ir,S,16,77
1030,Ir-Sb,5,4,2.4508,2.6169,2.56,0.06,Ir,Sb,51,77
1031,Ir-Se,144,41,2.3495,2.698,2.48,0.061,Ir,Se,34,77
1032,Ir-Si,231,143,2.0808,2.6185,2.379,0.079,Ir,Si,14,77
1033,Ir-Sm,6,4,3.1207,3.3241,3.208,0.065,Ir,Sm,62,77
1034,Ir-Sn,86,48,2.5215,2.8968,2.667,0.071,Ir,Sn,50,77
1035,Ir-Ta,20,11,2.4346,2.8845,2.625,0.152,Ir,Ta,73,77
1036,Ir-Tb,7,6,3.1193,3.2289,3.176,0.044,Ir,Tb,65,77
1037,Ir-Te,41,12,2.5494,2.7046,2.65,0.035,Ir,Te,52,77
1038,Ir-Ti,3,3,2.3101,2.5419,2.437,0.096,Ir,Ti,22,77
1039,Ir-Tm,2,2,2.9038,3.1002,3.002,0.098,Ir,Tm,69,77
1040,Ir-V,19,13,2.6063,2.8517,2.722,0.079,Ir,V,23,77
1041,Ir-W,99,28,2.2982,3.0234,2.815,0.089,Ir,W,74,77
1042,Ir-Y,10,9,2.9266,3.1988,3.092,0.09,Ir,Y,39,77
1043,Ir-Yb,9,8,2.8977,3.243,3.064,0.121,Ir,Yb,70,77
1044,Ir-Zn,44,10,2.3674,2.9638,2.639,0.114,Ir,Zn,30,77
1045,Al-K,5,4,2.1366,2.9338,2.564,0.327,Al,K,13,19
1046,C-K,10,8,1.8174,2.4714,2.29,0.18,C,K,6,19
1047,Cl-K,2135,619,1.9818,3.4878,3.221,0.148,Cl,K,17,19
1048,F-K,4594,722,1.8365,2.9929,2.768,0.127,F,K,9,19
1049,H-K,12,9,1.393,1.9106,1.739,0.181,H,K,1,19
1050,K-K,341,182,2.1819,3.1316,2.756,0.237,K,K,19,19
1051,K-Li,8,7,1.6017,2.2427,1.932,0.222,K,Li,3,19
1052,K-Mg,5,5,2.305,3.1057,2.812,0.354,K,Mg,12,19
1053,K-N,25,17,1.7754,2.4516,2.319,0.153,K,N,7,19
1054,K-Na,83,43,2.2416,3.2116,2.811,0.274,K,Na,11,19
1055,K-O,111131,7773,1.6913,3.8,3.004,0.313,K,O,8,19
1056,K-P,6,6,1.9751,2.6881,2.482,0.233,K,P,15,19
1057,K-S,3664,818,2.109,3.5499,3.336,0.133,K,S,16,19
1058,K-Si,2,2,2.2184,2.281,2.25,0.031,K,Si,14,19
1059,Ca-Kr,10,5,2.1501,2.8989,2.496,0.295,Ca,Kr,20,36
1060,F-Kr,36,9,1.7647,2.1398,1.916,0.121,F,Kr,9,36
1061,K-Kr,2,2,2.2074,2.8538,2.531,0.323,K,Kr,19,36
1062,Kr-Kr,7,6,1.8437,2.1614,1.987,0.115,Kr,Kr,36,36
1063,Kr-O,10,5,1.868,2.0872,1.974,0.081,Kr,O,8,36
1064,Ag-La,23,18,3.0986,3.5623,3.338,0.124,Ag,La,47,57
1065,Al-La,136,76,2.9961,3.3863,3.271,0.083,Al,La,13,57
1066,As-La,57,22,2.8783,3.4066,3.146,0.12,As,La,33,57
1067,B-La,72,45,2.3697,2.9612,2.82,0.121,B,La,5,57
1068,Ba-La,7,6,3.4283,3.5864,3.556,0.053,Ba,La,56,57
1069,Br-La,475,42,2.8592,3.3947,3.136,0.102,Br,La,35,57
1070,C-La,1380,210,2.0291,2.9027,2.734,0.134,C,La,6,57
1071,Ca-La,76,65,3.3446,3.6457,3.549,0.081,Ca,La,20,57
1072,Cd-La,20,9,3.1478,3.6103,3.445,0.098,Cd,La,48,57
1073,Cl-La,471,100,2.5639,3.2289,2.961,0.123,Cl,La,17,57
1074,Co-La,71,50,2.8397,3.3508,3.177,0.144,Co,La,27,57
1075,Cr-La,36,34,3.0591,3.3815,3.333,0.061,Cr,La,24,57
1076,Cs-La,1,1,3.9637,3.9637,3.964,0.0,Cs,La,55,57
1077,Cu-La,329,215,2.8944,3.3748,3.265,0.086,Cu,La,29,57
1078,F-La,255,98,2.1098,2.8373,2.487,0.124,F,La,9,57
1079,Fe-La,69,49,2.8393,3.3699,3.249,0.108,Fe,La,26,57
1080,Ga-La,245,149,2.7234,3.4791,3.356,0.117,Ga,La,31,57
1081,Ge-La,194,73,2.9317,3.4273,3.242,0.107,Ge,La,32,57
1082,H-La,43,28,1.728,2.3692,2.225,0.151,H,La,1,57
1083,I-La,164,72,2.7027,3.5491,3.261,0.112,I,La,53,57
1084,In-La,52,37,3.2199,3.6794,3.467,0.119,In,La,49,57
1085,K-La,3,3,3.4183,3.4692,3.439,0.022,K,La,19,57
1086,La-La,767,445,2.8478,3.9883,3.81,0.145,La,La,57,57
1087,La-Li,3,3,2.0425,2.1162,2.075,0.031,La,Li,3,57
1088,La-Mg,111,73,3.1898,3.5939,3.438,0.081,La,Mg,12,57
1089,La-Mn,203,176,2.7547,3.3744,3.315,0.069,La,Mn,25,57
1090,La-Mo,58,17,3.324,3.5266,3.451,0.053,La,Mo,42,57
1091,La-N,2096,544,2.1625,3.0117,2.661,0.135,La,N,7,57
1092,La-Na,24,23,3.2692,3.6329,3.498,0.102,La,Na,11,57
1093,La-Nb,92,72,3.2802,3.5753,3.449,0.079,La,Nb,41,57
1094,La-Ni,302,165,2.4706,3.35,3.102,0.164,La,Ni,28,57
1095,La-O,23038,3041,2.0054,2.9998,2.582,0.148,La,O,8,57
1096,La-P,96,51,2.8535,3.2423,3.1,0.098,La,P,15,57
1097,La-Pd,36,22,2.9784,3.4648,3.216,0.143,La,Pd,46,57
1098,La-Rh,38,22,2.9121,3.4674,3.21,0.145,La,Rh,45,57
1099,La-Ru,113,59,2.4619,3.4685,3.208,0.254,La,Ru,44,57
1100,La-S,1212,154,2.631,3.228,2.992,0.106,La,S,16,57
1101,La-Sb,119,47,3.0852,3.6177,3.375,0.085,La,Sb,51,57
1102,La-Se,211,82,2.9083,3.3601,3.141,0.101,La,Se,34,57
1103,La-Si,156,113,2.9347,3.3027,3.225,0.064,La,Si,14,57
1104,La-Sn,79,40,3.183,3.6291,3.419,0.094,La,Sn,50,57
1105,La-Sr,1,1,2.3548,2.3548,2.355,0.0,La,Sr,38,57
1106,La-Te,53,27,3.1331,3.5896,3.349,0.112,La,Te,52,57
1107,La-Ti,2,2,2.1933,2.7991,2.496,0.303,La,Ti,22,57
1108,La-V,14,12,3.2571,3.4049,3.361,0.035,La,V,23,57
1109,La-Y,28,24,3.3496,3.799,3.661,0.108,La,Y,39,57
1110,La-Zn,97,44,3.1271,3.4685,3.316,0.104,La,Zn,30,57
1111,H-Li,5,5,0.8328,1.0816,0.937,0.098,H,Li,1,3
1112,Li-Li,25,22,1.0254,1.3994,1.223,0.115,Li,Li,3,3
1113,Ag-Lu,1,1,2.9827,2.9827,2.983,0.0,Ag,Lu,47,71
1114,Al-Lu,38,25,2.8797,3.197,3.029,0.075,Al,Lu,13,71
1115,As-Lu,1,1,2.8386,2.8386,2.839,0.0,As,Lu,33,71
1116,B-Lu,64,28,2.4129,2.775,2.626,0.072,B,Lu,5,71
1117,Ba-Lu,1,1,3.3316,3.3316,3.332,0.0,Ba,Lu,56,71
1118,Br-Lu,3,2,2.6751,3.1228,2.828,0.208,Br,Lu,35,71
1119,C-Lu,1510,252,2.1428,2.7492,2.553,0.121,C,Lu,6,71
1120,Ca-Lu,4,4,3.2609,3.4043,3.355,0.059,Ca,Lu,20,71
1121,Cd-Lu,2,1,3.1308,3.2478,3.189,0.058,Cd,Lu,48,71
1122,Cl-Lu,50,30,2.4932,2.8763,2.607,0.09,Cl,Lu,17,71
1123,Co-Lu,11,8,2.7617,3.0758,2.933,0.104,Co,Lu,27,71
1124,Cr-Lu,5,5,3.095,3.2268,3.128,0.05,Cr,Lu,24,71
1125,Cu-Lu,39,15,2.6339,3.1991,3.023,0.133,Cu,Lu,29,71
1126,F-Lu,87,23,1.8606,2.6283,2.247,0.101,F,Lu,9,71
1127,Fe-Lu,36,17,2.5285,3.2171,3.057,0.154,Fe,Lu,26,71
1128,Ga-Lu,15,8,2.625,3.2664,2.997,0.142,Ga,Lu,31,71
1129,Ge-Lu,64,29,2.7629,3.2674,2.993,0.142,Ge,Lu,32,71
1130,H-Lu,94,33,1.6747,2.2171,2.056,0.113,H,Lu,1,71
1131,I-Lu,10,6,2.8946,3.3138,3.048,0.146,I,Lu,53,71
1132,In-Lu,5,4,2.6445,3.3337,3.148,0.255,In,Lu,49,71
1133,La-Lu,3,3,3.6235,3.7554,3.685,0.054,La,Lu,57,71
1134,Lu-Lu,169,84,2.7384,3.6732,3.434,0.15,Lu,Lu,71,71
1135,Lu-Mg,9,9,3.2043,3.3528,3.314,0.053,Lu,Mg,12,71
1136,Lu-Mn,3,2,3.0087,3.1339,3.063,0.053,Lu,Mn,25,71
1137,Lu-Mo,3,3,2.862,3.2107,3.034,0.142,Lu,Mo,42,71
1138,Lu-N,1157,328,2.0325,2.7094,2.378,0.119,Lu,N,7,71
1139,Lu-Na,8,4,3.1794,3.4915,3.334,0.1,Lu,Na,11,71
1140,Lu-Ni,37,19,2.5165,3.1831,2.905,0.163,Lu,Ni,28,71
1141,Lu-O,2693,536,1.9179,2.698,2.304,0.1,Lu,O,8,71
1142,Lu-P,50,31,2.5973,3.088,2.969,0.121,Lu,P,15,71
1143,Lu-Pd,19,15,2.7904,3.3356,2.98,0.155,Lu,Pd,46,71
1144,Lu-Rh,16,15,2.8856,3.1762,3.028,0.104,Lu,Rh,45,71
1145,Lu-Ru,35,13,2.7705,3.2283,2.952,0.124,Lu,Ru,44,71
1146,Lu-S,176,47,2.5598,3.0425,2.727,0.09,Lu,S,16,71
1147,Lu-Sb,14,4,2.9451,3.3869,3.115,0.132,Lu,Sb,51,71
1148,Lu-Se,53,13,2.662,2.9693,2.79,0.055,Lu,Se,34,71
1149,Lu-Si,56,35,2.6163,3.1468,2.992,0.117,Lu,Si,14,71
1150,Lu-Sn,7,5,2.8785,3.3516,3.097,0.151,Lu,Sn,50,71
1151,Lu-Te,33,11,2.9644,3.3851,3.072,0.105,Lu,Te,52,71
1152,Lu-V,1,1,3.095,3.095,3.095,0.0,Lu,V,23,71
1153,Lu-Zn,106,6,2.7428,3.3025,3.081,0.101,Lu,Zn,30,71
1154,B-Mg,233,66,1.881,2.5717,2.42,0.102,B,Mg,5,12
1155,C-Mg,852,344,2.0369,2.5128,2.27,0.126,C,Mg,6,12
1156,F-Mg,1500,572,1.7522,2.3481,2.029,0.074,F,Mg,9,12
1157,H-Mg,135,61,1.4584,1.9817,1.851,0.12,H,Mg,1,12
1158,Mg-Mg,3350,1455,2.2742,3.2096,3.065,0.104,Mg,Mg,12,12
1159,Mg-N,2526,846,1.9142,2.4869,2.112,0.089,Mg,N,7,12
1160,Mg-Na,275,225,2.3177,3.2548,3.132,0.131,Mg,Na,11,12
1161,Mg-O,34177,6487,1.7154,2.463,2.078,0.108,Mg,O,8,12
1162,Al-Mn,278,36,2.2704,2.7719,2.577,0.109,Al,Mn,13,25
1163,B-Mn,294,114,1.8108,2.5491,2.207,0.165,B,Mn,5,25
1164,C-Mn,7091,1078,1.6319,2.288,1.949,0.168,C,Mn,6,25
1165,Ca-Mn,30,20,2.2948,3.0292,2.81,0.225,Ca,Mn,20,25
1166,Cl-Mn,1426,641,2.0563,2.7445,2.481,0.122,Cl,Mn,17,25
1167,Cr-Mn,6,4,2.5081,2.7497,2.69,0.085,Cr,Mn,24,25
1168,F-Mn,918,393,1.6284,2.2237,2.0,0.119,F,Mn,9,25
1169,H-Mn,166,96,1.2291,1.7551,1.643,0.107,H,Mn,1,25
1170,K-Mn,7,7,2.1255,2.665,2.304,0.167,K,Mn,19,25
1171,Li-Mn,6,6,1.7647,1.9159,1.824,0.059,Li,Mn,3,25
1172,Mg-Mn,31,20,2.2571,2.9771,2.837,0.189,Mg,Mn,12,25
1173,Mn-Mn,589,297,1.9304,2.7608,2.617,0.135,Mn,Mn,25,25
1174,Mn-N,21119,5058,1.5949,2.5999,2.185,0.134,Mn,N,7,25
1175,Mn-Na,31,25,2.1851,3.0241,2.875,0.187,Mn,Na,11,25
1176,Mn-O,59650,8506,1.5583,2.242,2.046,0.124,Mn,O,8,25
1177,Mn-P,788,283,2.1339,2.6243,2.32,0.1,Mn,P,15,25
1178,Mn-S,1382,418,2.0401,2.7592,2.476,0.138,Mn,S,16,25
1179,Mn-Sc,1,1,2.1332,2.1332,2.133,0.0,Mn,Sc,21,25
1180,Mn-Si,396,94,2.0028,2.6837,2.428,0.121,Mn,Si,14,25
1181,Mn-Ti,1,1,2.1011,2.1011,2.101,0.0,Mn,Ti,22,25
1182,Mn-V,7,7,2.48,2.6668,2.559,0.074,Mn,V,23,25
1183,Al-Mo,76,12,2.5651,2.9014,2.769,0.086,Al,Mo,13,42
1184,As-Mo,116,29,2.2249,2.8626,2.624,0.082,As,Mo,33,42
1185,B-Mo,675,132,2.0362,2.74,2.335,0.118,B,Mo,5,42
1186,Br-Mo,593,105,2.4026,2.8886,2.605,0.042,Br,Mo,35,42
1187,C-Mo,17439,2171,1.5362,2.4425,2.22,0.157,C,Mo,6,42
1188,Ca-Mo,24,4,2.8615,3.171,3.113,0.065,Ca,Mo,20,42
1189,Cl-Mo,1908,501,1.949,2.6997,2.434,0.078,Cl,Mo,17,42
1190,Co-Mo,166,54,2.0709,2.8813,2.715,0.101,Co,Mo,27,42
1191,Cr-Mo,6,3,2.3225,2.9249,2.661,0.244,Cr,Mo,24,42
1192,Cu-Mo,357,135,2.298,2.8599,2.705,0.065,Cu,Mo,29,42
1193,F-Mo,486,114,1.6644,2.3524,1.994,0.135,F,Mo,9,42
1194,Fe-Mo,465,146,2.2769,2.9084,2.717,0.065,Fe,Mo,26,42
1195,Ga-Mo,74,14,2.3844,2.9829,2.603,0.108,Ga,Mo,31,42
1196,Ge-Mo,100,33,2.2805,2.9724,2.642,0.137,Ge,Mo,32,42
1197,H-Mo,308,161,1.3407,1.9808,1.729,0.131,H,Mo,1,42
1198,K-Mo,5,4,2.658,3.0973,2.886,0.175,K,Mo,19,42
1199,Mn-Mo,39,29,2.4244,2.9023,2.76,0.088,Mn,Mo,25,42
1200,Mo-Mo,2939,1035,2.1324,3.0667,2.708,0.167,Mo,Mo,42,42
1201,Mo-N,6602,1995,1.682,2.4479,2.124,0.166,Mo,N,7,42
1202,Mo-Na,6,4,3.0359,3.1733,3.124,0.047,Mo,Na,11,42
1203,Mo-Ni,87,31,2.4197,2.8839,2.664,0.09,Mo,Ni,28,42
1204,Mo-O,103366,4811,1.4166,2.3954,1.935,0.199,Mo,O,8,42
1205,Mo-P,2577,975,1.9895,2.7653,2.478,0.078,Mo,P,15,42
1206,Mo-S,7099,1171,1.92,2.7375,2.39,0.098,Mo,S,16,42
1207,Mo-Se,1023,164,2.0184,2.885,2.563,0.084,Mo,Se,34,42
1208,Mo-Si,118,72,2.3155,2.8869,2.591,0.117,Mo,Si,14,42
1209,Mo-Sr,1,1,2.68,2.68,2.68,0.0,Mo,Sr,38,42
1210,Mo-Ti,1,1,1.8482,1.8482,1.848,0.0,Mo,Ti,22,42
1211,Mo-V,31,5,2.1099,2.9623,2.743,0.18,Mo,V,23,42
1212,Mo-Y,15,9,3.0649,3.3387,3.197,0.091,Mo,Y,39,42
1213,Mo-Zn,42,9,2.4692,2.9805,2.667,0.11,Mo,Zn,30,42
1214,Br-N,67,44,1.5561,2.1697,1.948,0.114,Br,N,7,35
1215,Cl-N,118,90,1.4292,2.0464,1.757,0.15,Cl,N,7,17
1216,F-N,39,25,1.1186,1.7112,1.454,0.158,F,N,7,9
1217,H-N,257730,81987,0.733,1.3327,0.891,0.054,H,N,1,7
1218,I-N,288,83,1.7295,2.4389,2.237,0.088,I,N,7,53
1219,Li-N,6922,1861,1.1883,2.795,2.099,0.138,Li,N,3,7
1220,N-N,94442,38057,0.8247,1.768,1.335,0.087,N,N,7,7
